"vendor_direct_ref","product_direct_ref","rule_id","type","category","enabled_by_default","prototype_enabled","record_type_direct_ref","tags","name","description"
"","","MATCH-S00394","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1202","Findstr Launching .lnk File","Detects usage of findstr to identify and execute a lnk file as seen within the HHS redirect attack."
"","","MATCH-S00454","templated_match","Lateral Movement","True","False","","_mitreAttackTactic:TA0008, _mitreAttackTechnique:T1210","Firewall Allowed SMB Traffic","Observes for SMB traffic allowed through the firewall."
"","","FIRST-S00042","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1120","First Seen Ioreg Usage from User","A user has executed a ioreg command not seen since the baseline period. The ioreg binary can be used to enumerate configurations on a Unix/macOS host and can be used by malware to ensure that code is not running on a virtual machine or sandbox. This rule utilizes data from the ""LOOBins"" project: https://github.com/infosecB/LOOBins - more information regarding this specific binary can be found via: https://www.loobins.io/binaries/ioreg/"
"","","FIRST-S00047","first_seen","Initial Access","True","False","","_mitreAttackTactic:TA0001, _mitreAttackTechnique:T1078.004","First Seen ASN Associated with User for a Successful Azure AD Sign In Event","This rule will trigger when a new ASN value is associated with a successful Entra ID sign in event for a particular username since the baseline period. This may be suspicious activity as a users IP address may change periodically, but typically users authenticate from a set of ASNs (one ASN value for their home network, another ASN value for their mobile device ) – a sign in with a new ASN not seen since the baseline period could be indicative of credential theft. Look at other events occurring for the user in question for the same time period to ascertain whether access was malicious or benign."
"Amazon AWS","CloudTrail","FIRST-S00002","first_seen","Execution","False","True","","_mitreAttackTactic:TA0002","First Seen AWS API Call from User","Observes for a user performing a specific API call for the first time. This may be suspicious if a user begins interacting with systems they do not typically."
"Amazon AWS","CloudTrail","FIRST-S00023","first_seen","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTechnique:T1530","First Seen AWS API Gateway Enumeration by User","Threat actors may collect information from AWS API Gateway, including enumeration of access they have to such resources."
"Amazon AWS","CloudTrail","FIRST-S00084","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1580","First Seen AWS Bedrock API Call from User","This rule looks for a first seen AWS Bedrock API call from a user since the baseline period. Ensure the user in question is authorized to utilize AWS Bedrock services. Take a look at the ""action"" field to determine what API calls are being made and whether this activity is expected."
"Amazon AWS","","FIRST-S00071","first_seen","Discovery","True","False","Authentication","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1538","First Seen AWS ConsoleLogin by User","First observance of a user logging on to the Amazon AWS console. This could be indicative of new administrator onboarding, or an unauthorized access to the AWS console. Recommended to investigate the nature of the user account and the login."
"Amazon AWS","CloudTrail","FIRST-S00036","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1613","First Seen AWS EKS API Call via CloudTrail from User","This rule looks for a first seen AWS EKS API call from a user since the baseline period."
"","","FIRST-S00037","first_seen","Defense Evasion","True","False","","_mitreAttackTechnique:T1550, _mitreAttackTactic:TA0005, _mitreAttackTactic:TA0008","First Seen AWS EKS Admission Controller Created by IP Address","First Seen Admission Controllers (Submit a new MutatingWebhookConfiguration or ValidatingWebhookConfiguration object via the Kubernetes API, or update an existing one.)"
"","","FIRST-S00035","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1613","First Seen AWS EKS Secrets Enumeration from IP Address","Adversaries may enumerate various Kubernetes secrets in order to escalate privileges or to look for persistence avenues."
"Amazon AWS","CloudTrail","FIRST-S00024","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1204, _mitreAttackTechnique:T1651","First Seen AWS SSM RunShellScript SendCommand From User","AWS SSM (Simple Systems Manager) can be used to manage systems and configurations, however, it can also be abused by threat actors to run various shell scripts on EC2 instances."
"Amazon AWS","CloudTrail","FIRST-S00003","first_seen","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552, _mitreAttackTechnique:T1552.004, _mitreAttackTechnique:T1552.005","First Seen AWS Secrets Manager API Call from User","Observes for a user performing a ListSecrets API call for the first time."
"","Bro","LEGACY-S00036","match","Lateral Movement","True","False","","_mitreAttackTactic:TA0008, _mitreAttackTechnique:T1021, _mitreAttackTechnique:T1021.002","First Seen Access - SMB Share","Adversaries may access a networked system remotely using Server Message Block (SMB) to transfer files, and run transferred binaries through remote execution. Although not malicious on its own, this first-seen access to a DISK share over SMB can be an indicator of lateral movement."
"Microsoft","Windows","FIRST-S00001","first_seen","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004","First Seen Administrative Privileges Granted for User","Observes for granting of administrative privileges in Windows for the first time for a given user"
"Microsoft","Windows","FIRST-S00026","first_seen","Lateral Movement","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1003, _mitreAttackTechnique:T1003.005","First Seen Anonymous Logon Change Activity to Domain Controller","Attackers can attempt to hijack enterprise servers exploiting Netlogon cryptographic weaknesses. The vulnerability allows an attacker to set a password for the computer account of an Active Directory Domain Controller, which can then be abused to pull credentials from the Domain Controller. This rule detects fist seen anonymous user attempt a change on a domain controller computer account."
"","","FIRST-S00044","first_seen","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTechnique:T1114","First Seen AppID Generating MailItemsAccessed Event from User","This alert looks at a first seen application ID accessing an Office 365/Exchange mail box item The MailItemsAccessed may not always be enabled within an Entra/Azure/Office 365 tenant and is dependent on Microsoft licensing requirements. See the following guide from CISA for additional information on this event type and investigation steps: https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-193a"
"Microsoft","","FIRST-S00048","first_seen","Initial Access","True","False","","_mitreAttackTactic:TA0001, _mitreAttackTactic:TA0007, _mitreAttackTechnique:T1078.004, _mitreAttackTechnique:T1098","First Seen Azure Device Code Authentication from User","Azure Device Code authentication can be utilized in phishing attacks. This specific rule looks for a user performing device code authentication to an Azure resource for the first time since the baseline period. If this action is not expected, it could be a sign of malicious activity. Examine the event for odd user agent values and look at what other actions the affected account is performing within the Azure estate."
"Microsoft","Azure","FIRST-S00019","first_seen","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.004, _mitreAttackTechnique:T1098, _mitreAttackTechnique:T1098.003","First Seen Azure Member Addition to Group from User","Detects a user being added to a group for the first time by a user. This may be a routine activity, but could be indicative of an attempt to escalate account privileges. It is recommended to add additional expression logic to this rule to either exclude non-sensitive groups, or to only include sensitive groups."
"Microsoft","","FIRST-S00020","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTactic:TA0008, _mitreAttackTechnique:T1550.001","First Seen Azure OAUTH Application Consent from User","A user has consented to application permissions for the first time since the baseline period occurred."
"Microsoft","Azure","FIRST-S00080","first_seen","Discovery","True","False","Authentication","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1538","First Seen Azure Portal access by User","First observance of a user logging on to the Microsoft Azure Portal. This could be indicative of new user onboarding, or an unauthorized access to the Azure portal. Recommended to investigate the nature of the user account and the login."
"Microsoft","","FIRST-S00021","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1204, _mitreAttackTechnique:T1651","First Seen Azure Virtual Machine Run Command Issued by User","A user has issued an Azure Virtual Machine run command for the first time in the baseline period."
"","","FIRST-S00064","first_seen","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1649","First Seen Certificate Thumbprint in Successful Kerberos Authentication","This alert looks for a first seen certtificate thumbprint being used to authenticate to an Active Directory environment, resulting in a Kerberos ticket being successfully issued. This alert is designed to catch Active Directory Certificate Services related attacks, ensure the certificate thumprint is valid, correlate the thumbprint ID with other Certificate Services events, particularly looking for recently issued templates."
"","","FIRST-S00046","first_seen","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTechnique:T1114","First Seen Client Generating MailItemsAccessed Event from User","This alert looks at a First Seen client accessing an Office 365/Exchange mail box item. The MailItemsAccessed may not always be enabled within an Entra/Azure/Office 365 tenant and is dependent on Microsoft licensing requirements. See the following guide from CISA for additional information on this event type and investigation steps: https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-193a"
"","","FIRST-S00028","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1018","First Seen Common Windows Recon Commands From User","Detects a set of commands often used in recon stages by different attack groups."
"Microsoft","Windows","FIRST-S00013","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1014","First Seen Driver Load - Global","{{device_hostname}} loaded new driver {{file_path}}."
"Microsoft","Windows","FIRST-S00014","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1014","First Seen Driver Load - Host","{{device_hostname}} loaded new driver {{file_path}}."
"","","FIRST-S00007","first_seen","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTactic:TA0007, _mitreAttackTechnique:T1530, _mitreAttackTechnique:T1526","First Seen DynamoDB Enumeration from User","A user was observed as performing enumeration of DynamoDB tables for the first time in the baseline period."
"","","FIRST-S00073","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1201","First Seen Get-ADDefaultDomainPasswordPolicy","The first observed execution of the PowerShell CMDLet Get-ADDefaultDomainPasswordPolicy on this host, this CMDLet can be used in the discovery of Windows Domain Password Policies by threat actors. Investigating the host and active users for additional activity around the time of execution is recommended."
"","","FIRST-S00072","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1201","First Seen Group Policy Discovery Operation","`This detection is a first observed execution of Windows process or PowerShell commands that can be run by users or administrators in order to gather password policy and other types of system information in an enterprise environment. The detections in this signal are based off variations found in Atomic Red Team test cases. Reference:  https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1615/T1615.md. Look at the command line and parent process details of the signal in order to determine if this execution is legitimate or part of system provisioning or systems administration operations."
"","","FIRST-S00062","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTactic:TA0006, _mitreAttackTechnique:T1649, _mitreAttackTechnique:T1087.002","First Seen IP Address Connecting to Active Directory Certificate Services Process","This alert looks at Windows Filtering Platform Events and flags when a first seen IP address connects to the certificate services process. This can be indictive of enumeration of certificate templates which can potentially lead to forged certificates and privilege escalation avenues. Pivot off the source IP and ensure that this device is authorized to be on the network. In addition, look for other CSE signals related to Active Directory Certificate Services to look for any potentially vulnerable certificate templates being exploited."
"","","FIRST-S00086","first_seen","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1552","First Seen IP Address Performing Trufflehog AWS Credential Verification","Trufflehog is a tool that can be utilized to find and verify secrets. When Trufflehog locates AWS credentials, it attempts to validate them using the GetCallerIdentity API call. This signal looks for the default Trufflehog User Agent within CloudTrail telemetry, combined with the GetCallerIdentity API call occurring from an IP address not seen since the baseline period. This signal is designed to pair with “Trufflehog AWS Credential Verification Detected” to provide coverage for legitimate and internal Trufflehog scans. Within this telemetry, the user_username field will contain the value of the username associated with the secret or credential that Trufflehog is attempting to verify. Look at the events surrounding the source IP address of this event. Look for any potential areas that may have contained keys or secrets for the user_username value."
"","","FIRST-S00027","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1218, _mitreAttackTechnique:T1218.004","First Seen InstallUtil Allow List Bypass From User","This rule looks for a suspicious InstallUtil outgoing network connection from the InstallUtil process, indicating potentially malicious use of the InstallUtil binary."
"Microsoft","Windows","FIRST-S00017","first_seen","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1558, _mitreAttackTechnique:T1558.003","First Seen Kerberoasting Attempt from User - Global","First Seen Kerberoasting Attempt from User - Global"
"Microsoft","Windows","FIRST-S00018","first_seen","Credential Access","True","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1558, _mitreAttackTechnique:T1558.003","First Seen Kerberoasting Attempt from User - Host","First Seen Kerberos RC4 Request - If RC4 isn't used in the environment this indicates a possible Kerberoasting attempt."
"","","FIRST-S00032","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1609","First Seen Kubectl Command From User","Kubectl can be used to administer Kubernetes clusters, this alert looks for a first seen Kubectl command line from a user since the baseline period."
"Microsoft","Windows","FIRST-S00004","first_seen","Privilege Escalation","True","False","","_mitreAttackTactic:TA0004, _mitreAttackTactic:TA0003, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.003","First Seen Local Group Addition by User","Observes for a user being added to a security-enabled local group in Windows"
"","","FIRST-S00015","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002","First Seen Macro Execution from User","First Seen Macro Execution from User"
"","","FIRST-S00081","first_seen","Persistence","True","False","","_mitreAttackTechnique:T1583, _mitreAttackTactic:TA0040","First Seen Model ID in AWS Bedrock Put Entitlement by User","A first seen model id was observed in AWS Bedrock. The PutFoundationModelEntitlement API call grants permission to put entitlement to access a foundational model. Ensure this model is authorized to be utilized in the environment and that the user requesting access to the model is authorized to perform these actions."
"","","FIRST-S00088","first_seen","Credential Access","False","False","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1558, _mitreAttackTechnique:T1649","First Seen NTLM Authentication to Host (User)","A user has performed NTLM authentication to a host on the network for the first time since the baseline period has been established. Rule is disabled by default and requires tuning. Tuning guidance: depending on configurations in the environment, NTLM authentication may be necessary and expected. Examine the username, source IP and destination host in order to ensure that this activity is expected. Look at other signals around the entity in question to determine if any other type of suspicious activity may have occurred. It may also be prudent to isolate the rule to sensitive users and groups"
"","","FIRST-S00076","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1201, _mitreAttackTactic:TA0006, _mitreAttackTechnique:T1087, _mitreAttackTechnique:T1482, _mitreAttackTechnique:T1087.001, _mitreAttackTechnique:T1087.002","First Seen Net Command Use on Host","Microsoft’s Net.exe can be used for multiple Discovery tactics, including Password Policy, Permissions, Account and Domain Trust Discovery. This detection identifies the first observance of a Net related command on a system related to these discovery tactics. It is recommended to investigate the host and user to determine if this is authorized admin activity or needs further inspection."
"Microsoft","Windows","FIRST-S00016","first_seen","Credential Access","True","False","","_mitreAttackTactic:TA0006","First Seen Non-Network/Non-System Logon from User","First Seen Non-Network Logon from User"
"Microsoft","Windows","FIRST-S00010","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1059, _mitreAttackTechnique:T1059.001","First Seen PowerShell Execution from Computer","Observes for an Endpoint utilizing PowerShell for the first time."
"Microsoft","Windows","FIRST-S00009","first_seen","Lateral Movement","True","False","","_mitreAttackTactic:TA0008, _mitreAttackTechnique:T1021, _mitreAttackTechnique:T1021.001","First Seen RDP Logon From User","Observes for a user performing a RDP logon for the first time."
"","CloudTrail","FIRST-S00085","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","First Seen Role Creating AWS Bedrock Agent","An AWS Bedrock Agent has been created in the environment by a Role seen for the first time since the baseline period. If this role is not expected in the environment and was not originally assigned IAM rights to Bedrock, this activity could be indicative of privilege escalation. Bedrock Agents can be configured with various parameters to build AI applications. Take a look at the ""responseElements.agent.agentName"" field to see the name of the agent being created. Ensure that the user creating the agent is authorized to develop AI applications within the environment."
"Amazon AWS","CloudTrail","FIRST-S00022","first_seen","Collection","True","False","","_mitreAttackTactic:TA0009, _mitreAttackTechnique:T1530","First Seen S3 Bucket ACL Enumeration by User","Threat actors may collect information from AWS S3 buckets, including enumeration of access they have to such resources."
"","","FIRST-S00025","first_seen","Lateral Movement","True","False","","_mitreAttackTactic:TA0008, _mitreAttackTechnique:T1210","First Seen SMB Allowed Traffic From IP","Observes for SMB traffic allowed through the firewall."
"Amazon AWS","CloudTrail","FIRST-S00034","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1550.001","First Seen Session Token Granted to User from New IP","Session tokens return a temporary set of credentials that cosnist of an access key ID, a secret and a session token. This alert triggers when a session token is issued for the first time since the baseline period."
"","","FIRST-S00065","first_seen","Initial Access","True","False","Authentication","_mitreAttackTactic:TA0001, _mitreAttackTactic:TA0006, _mitreAttackTechnique:T1078, _mitreAttackTechnique:T1078.001, _mitreAttackTechnique:T1078.002, _mitreAttackTechnique:T1078.003, _mitreAttackTechnique:T1078.004, _mitreAttackTechnique:T1586, _mitreAttackTechnique:T1586.001, _mitreAttackTechnique:T1586.002","First Seen Successful Authentication From Unexpected Country","First Seen rule which triggers when there are at least two successful logins from the same user with different country codes indicating possible credential theft. It is recommended to add filtering criteria to the expression to reduce false positives, such as known VPN addresses.(If degradation issues occur it is recommendation implementing tuning around your expected network)"
"","","FIRST-S00033","first_seen","Execution","True","False","","_mitreAttackTactic:TA0002, _mitreAttackTechnique:T1610","First Seen Terminal-Attached Pod Deployed to EKS","A pod was deployed with an attached terminal (stdin=true,stdout=true,tty=true) for the first time since the baseline period."
"","","FIRST-S00061","first_seen","Lateral Movement","True","False","","_mitreAttackTactic:TA0008, _mitreAttackTactic:TA0001, _mitreAttackTechnique:T1091","First Seen USB device in use on Windows host","This signal looks for a new removable USB device name being used by a host not seen since the baseline period. This activity by itself is not necessarily malicious, but can be indicative of potential lateral movement or initial access tactics. If the device name is unexpected and not authorized to be used in the environment, investigate the alert further and look for file creation events to the drive in question. The fields[""EventData.DeviceDescription""] field contains the device name."
"","","FIRST-S00087","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTactic:TA0004, _mitreAttackTechnique:T1578.002, _mitreAttackTechnique:T1578","First Seen User Creating or Modifying EC2 Launch Template","AWS EC2 launch templates allows cloud administrators to specify instance configuration information in a templated format. Granting permissions to modify or create launch templates within EC2 in certain circumstances grants the user PassRole permissions, potentially opening privilege escalation avenues via IAM. The following AWS documentation outlines this behavior: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/permissions-for-launch-templates.html. Look at other events the user in question is performing in order to investigate this signal. Consider excluding authorized users via a match list if this signal is triggering too many false positives."
"Microsoft","Windows","FIRST-S00005","first_seen","Persistence","True","True","","_mitreAttackTactic:TA0003","First Seen User Creation From User","Observes for a user being created for the first time by a user previously unassociated with account creation"
"","","FIRST-S00082","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","First Seen User Enumerating AWS Bedrock Models","A first seen user was observed enumerating AWS Bedrock models via the ListFoundationModels API call. Ensure that the user performing the enumeration is authorized to work within AWS Bedrock. The http_userAgent field will contain the user agent used to perform this enumeration and will help determine whether a browser or CLI tool was used to perform this type of enumeration. Consider excluding service accounts and authorized users from this rule via a rule tuning expression if excessive signal activity is observed."
"","","FIRST-S00100","first_seen","Discovery","False","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1526","First Seen User Enumerating Custom AWS Bedrock Models","[Disabled by Default] Detection of a user account's first enumeration of custom AWS Bedrock models via ListCustomModels API. Verify the user is authorized for AWS Bedrock access. The http_userAgent field indicates whether a browser or CLI tool was used. This rule is disabled by default due to potential high volume of alerts, particularly from service accounts. Before enabling, consider excluding authorized users and service accounts (such as CNAPP monitoring accounts with timestamp-based usernames) through rule tuning expressions."
"Microsoft","Windows","FIRST-S00006","first_seen","Credential Access","True","True","","_mitreAttackTactic:TA0006, _mitreAttackTechnique:T1558, _mitreAttackTechnique:T1558.003","First Seen Weak Kerberos Encryption from User","Observes for first signs of Weak Kerberos Encryption from a User"
"","","FIRST-S00038","first_seen","Exfiltration","True","False","","_mitreAttackTechnique:T1048, _mitreAttackTactic:TA0010","First Seen Wget Usage from User","First Seen execution of Wget by a user from a device. The Wget tool is designed to retrieve files using various internet protocols in a programmatic manner, it is often abused by threat actors to download various files as part of broader executions. If this usage of Wget comes from an unexpected user, it is recommended that the command line value be reviewed and the URL which was used as part of Wget command be investigated."
"","","FIRST-S00040","first_seen","Exfiltration","True","False","","_mitreAttackTechnique:T1048, _mitreAttackTactic:TA0010","First Seen cURL execution from User","First Seen execution of cURL by a user from a device. The cURL tool is designed to retrieve files using various internet protocols in a programmatic manner, it is often abused by threat actors to download various files as part of broader executions. If this usage of cURL comes from an unexpected user, it is recommended that the command line value be reviewed and the URL which was used as part of cURL command be investigated."
"","","FIRST-S00074","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1652","First Seen driverquery execution on host","First observed execution of the driverquery command on the following device host: {{device_hostname}}. Driverquery is a useful command for an attacker to enumerate local device drivers to determine next steps in the attack. Vulnerability scanners and automated processes may trigger this detection, it is recommended to identify and filter these processes out using a Tuning Expression for the corresponding baseImage. On detection, investigating the host and process executing the command to assist in understanding the context of the execution."
"Microsoft","Windows","FIRST-S00059","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1006","First Seen esentutl command From User","Threat actors may use the esentutl utility to create volume shadow copies and/or backups on a Windows operating system and retrieve the Active Directory database (NTDS.dit) file in order to extract credential material. Esentutl can also be utilized to download files from a remote share or URL. This activity should be treated as high priority if not performed by an authorized systems administrator as part of normal and planned systems maintenance."
"","","FIRST-S00079","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1201","First Seen gpresult execution on host","This detection is first observed execution of gpresult on a host, this command may be used by attackers to access detailed password policy information in an enterprise environment. Vulnerability scanners and automated processes may trigger this detection, it is recommended to identify and filter these processes out using a Tuning Expression for the corresponding baseImage. On detection, investigating the host and process executing the command to assist in understanding the context of the execution."
"","","FIRST-S00039","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1083","First Seen mdfind Usage from User","A user has executed a mdfind command not seen since the baseline period. The mdfind binary can be used to find passwords and other sensitive info on the host  system. This rule utilizes data from the ""LOOBins"" project: https://github.com/infosecB/LOOBins - more information regarding this specific binary can be found via: https://www.loobins.io/binaries/mdfind/"
"","","FIRST-S00041","first_seen","Discovery","True","False","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1082","First Seen networksetup Usage from User","A user has executed a networksetup command not seen since the baseline period. The networksetup binary can be used to change and discover network settings on a Unix or macOS host. This rule utilizes data from the ""LOOBins"" project: https://github.com/infosecB/LOOBins"
"","","FIRST-S00043","first_seen","Collection","True","False","","_mitreAttackTechnique:T1115, _mitreAttackTactic:TA0009","First Seen pbpaste Usage from User","A user has executed a pbpaste command not seen since the baseline period. The pbpaste binary can be used to read the contents of a clipboard. This rule utilizes data from the ""LOOBins"" project: https://github.com/infosecB/LOOBins. more information regarding this specific binary can be found via:  https://www.loobins.io/binaries/pbpaste/"
"Microsoft","Windows","FIRST-S00058","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1006","First Seen vssadmin command From User","Threat actors may use the vssadmin utility to create volume shadow copies on a Windows operating system and retrieve the Active Directory database (NTDS.dit) file in order to extract credential material. This activity should be treated as high priority if not performed by an authorized systems administrator as part of normal and planned systems maintenance. If this activity is performed as part of normal system maintenance, the rule can be tuned to exclude these groups of users."
"Microsoft","Windows","FIRST-S00060","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1006","First Seen wbadmin command From User","Threat actors may use the wbadmin utility to create volume shadow copies and/or backups on a Windows operating system and retrieve the Active Directory database (NTDS.dit) file in order to extract credential material. This activity should be treated as high priority if not performed by an authorized systems administrator as part of normal and planned systems maintenance."
"Microsoft","Windows","FIRST-S00008","first_seen","Discovery","True","True","","_mitreAttackTactic:TA0007, _mitreAttackTechnique:T1033","First Seen whoami command From User","Observes for a user performing a whoami command for the first time."
"","","FIRST-S00030","first_seen","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTactic:TA0008, _mitreAttackTechnique:T1550.002, _mitreAttackTechnique:T1187","First Seen Outbound Connection to External IP Address on Port 445 from IP Address","External connections over the internet to port 445 could be indictative of hash leak attempts, including exploitation attempts for vulnerabilities such as CVE-2023-2397. This alert looks at a source IP address making a connection to a new external destination IP address since the baseline period."
"Fortinet","Fortigate","LEGACY-S00037","match","Execution","True","False","","_mitreAttackTactic:TA0002","Fortinet Critical App-Risk","This signal fires when Fortinet identifies a critical risk application in use within the network. "
"Fortinet","Fortigate","LEGACY-S00038","match","Execution","True","False","","_mitreAttackTactic:TA0002","Fortinet High App-Risk","This signal fires when Fortinet detects a high risk application within the environment"
"Google","Google Cloud Platform","MATCH-S00620","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.001","GCP Audit Cloud SQL Database Modified","Detect when a Cloud SQL DB has been modified."
"Google","Google Cloud Platform","MATCH-S00621","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","GCP Audit GCE Firewall Rule Modified","Detect when a firewall rule is created, modified or deleted."
"Google","Google Cloud Platform","MATCH-S00622","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","GCP Audit GCE Network Route Created or Modified","Detect when a firewall route is created or modified."
"Google","Google Cloud Platform","MATCH-S00623","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0005, _mitreAttackTechnique:T1562, _mitreAttackTechnique:T1562.007","GCP Audit GCE VPC Network Modified","Detect when a VPC network is created."
"Google","Google Cloud Platform","MATCH-S00615","templated_match","Persistence","True","False","","_mitreAttackTactic:TA0003, _mitreAttackTechnique:T1136, _mitreAttackTechnique:T1136.003","GCP Audit IAM CreateServiceAccount Observed","This signal fires for all observances of the CreateServiceAccount action in the IAM event source. Hostile actors will create service accounts to persist access. Use this signal in context of other activity to determine intent."
"Google","Google Cloud Platform","MATCH-S00624","templated_match","Defense Evasion","True","False","","_mitreAttackTactic:TA0003, _mitreAttackTactic:TA0004, _mitreAttackTechnique:T1098, _mitreAttackTechnique:T1098.001","GCP Audit IAM Custom Role Created or Modified","Detect when a custom role is created or modified."
"Google","Google Cloud Platform","MATCH-S00631","templated_match","Impact","True","False","","_mitreAttackTechnique:T1531, _mitreAttackTactic:TA0040","GCP Audit IAM Custom Role Deletion","Identifies an Identity and Access Management (IAM) role deletion in Google Cloud Platform (GCP). A role contains a set of permissions that allows you to perform specific actions on Google Cloud resources. An adversary may delete an IAM role to inhibit access to accounts utilized by legitimate users."
"Google","Google Cloud Platform","MATCH-S00630","templated_match","Impact","True","False","","_mitreAttackTechnique:T1531, _mitreAttackTactic:TA0040","GCP Audit IAM DeleteServiceAccount Observed","Identifies when a service account is deleted in Google Cloud Platform (GCP). A service account is a special type of account used by an application or a virtual machine (VM) instance, not a person. Applications use service accounts to make authorized API calls, authorized as either the service account itself, or as Google Workspace or Cloud Identity users through domain-wide delegation. An adversary may delete a service account in order to disrupt their target's business operations."
"Google","Google Cloud Platform","MATCH-S00629","templated_match","Impact","True","False","","_mitreAttackTechnique:T1531, _mitreAttackTactic:TA0040","GCP Audit IAM DisableServiceAccount Observed","Identifies when a service account is disabled in Google Cloud Platform (GCP). A service account is a special type of account used by an application or a virtual machine (VM) instance, not a person. Applications use service accounts to make authorized API calls, authorized as either the service account itself, or as Google Workspace or Cloud Identity users through domain-wide delegation. An adversary may disable a service account in order to disrupt to disrupt their target's business operations."
